merchant_name,status,nooftransactions
TERRITORIO BURGER,completed,1
SUMUP*Salao Washing,completed,2
POSTO SAO JOAO,completed,2
RAFAEL CLAUDEMIRO NIZA,completed,2
PAYPAL *INVOICEHOME,completed,1
POSTO DA GRUTA,completed,4
AMZ*TAPP Water S.L.,completed,1
Google TEMPORARY HOLD,completed,96
POSTO VIADUTO PONTE IM,completed,2
SUPERMERCADO NAGUMO,completed,4
YOSEMITE VIEW LODGE,completed,2
AUTO PARK,rejected,1
THE MEAT BAR,completed,1
MERCADO 3F,completed,2
EMPORIUM SAO PAULO,completed,10
J. SAINSBURY,completed,5
BARNACAMPERS,completed,1
MUNDO DO PAO CONFEITAR,completed,2
EMPORIO CONDOMINIO,completed,8
AV GERASSINA TAVARES,completed,4
EL CORTE INGLES PARKING,completed,3
WWW.PAPPACICCIA.COM,completed,4
RIOOPEN,completed,6
TESCO PAYAT PUMP 4167,rejected,1
DECATHLON ON LINE,completed,3
0328694 TORREVIEJA SUC 1,completed,1
CLINICA DENTAL GUIDO AUDI,completed,2
OCEAN SPA PLAZA LTD,canceled,2
Facebook RLK3VQW552,completed,1
99* POP 27Abr 19h14min,completed,2
Restaurant Dolores,completed,1
iti   *Luiz Rogerio,completed,4
MPAKOPOULOS ELEFTH AND,completed,1
KAPAZI,completed,4
ARNALDO MANOEL SAGAS M,completed,2
GALPAO PASTEIS,completed,2
TRIED AND TRUE,completed,1
FISIOLOGIC FISIOTERAPIA S,completed,1
99* POP 02Ago 21h17min,rejected,1
LINKEDIN-603*1945394,rejected,1
AVANTI STRUGA 22,completed,1
PORT PREMIA,completed,1
PERFUMERIA PRIMOR,completed,1
SUMUP  *LETICIAFOSCARI,rejected,1
REAL SOCIEDAD,completed,1
ATM-0036,completed,1
AGROPECUARIA ARC,completed,6
LEROY MERLIN NORTE,completed,2
MC DONALDS  NFL,completed,2
DM-Drogerie Markt,completed,3
EC*NOVAOPCAOLTDA,completed,6
RESTAURANTE E PIZZARIA,completed,2
Eduzz,rejected,16
CONSIGAS,completed,2
LIMBIC ARC,completed,2
VERTIC OUTDOOR SL,completed,2
NEWTON SYSTEMS LTD,canceled,4
WM MORRISONS PETROL OP,completed,4
Amazon.com.br Digital,rejected,39
HOLLAND   BARRATT,completed,1
PALAIS DE TOKYO,completed,1
CHRONAS P CO OE,completed,1
HT RadarTecnico,completed,2
D A L COM LTDA,completed,2
ZARA VALENCIA COLON,completed,1
NYX*PETRONETESPAASA,completed,1
DM COMERCIO DE AUTO PE,completed,2
THE PLOUGH INN,completed,1
MULTICOISAS CAMAEL,completed,2
99* TAXI 06Mar 19h20mi,completed,2
PO BRAINTREE 0,completed,1
PAD SENHOR BRITO,completed,2
JORGE ANTONIO SILVA AL,completed,2
HT Adestra Descompl,completed,2
MERCPAGO    *JTG,rejected,1
PICPAY *HN4 GOOGLEPLA,completed,2
MERCPAGO*JFOCOMERCIO,completed,2
Facebook ZJN2SSEGU2,rejected,1
PAYPAL *GARMINEUROP,completed,1
ESHALFOOD888 SL,completed,1
CHARILAOS STAVRAKIS LTD,completed,1
MEDINA MONCAYO S.A,completed,1
LA CUMBRE,completed,1
FAST MARKET,rejected,1
VILLA FAMIGLIA LUCCO,completed,10
WellingtonFerroni,completed,2
TabacariaJonniWal,completed,8
EC*LUIZENGELBERT,canceled,2
AMAZON.COM,rejected,1
POSTO GRACIOSA,completed,2
AMAZON.COM,completed,10
LA MAR DE BIEN,completed,1
AMZ*Electo Rii,completed,1
Hbconsultoria,completed,4
HT rafaexplica,completed,2
SUPERALVO SUPERMERCADO,completed,4
DIPIKA,completed,1
JLFARMA EIRELI,completed,2
MIRCEA BIKE SRL,completed,1
RobertaGinezDe,completed,2
EC*PROJETOVERAO,completed,2
GUM CO CC* MICHAL MALE,completed,1
RERS MAT COSTRUCAO,completed,6
VIVIANE PINHEIRO RODRI,completed,2
99* POP 29Jun 07h47min,completed,2
JOSIANE OLIVEIRA DA SI,completed,2
REDE MAXI POSTO,completed,2
CORTE INGLES COSTA MIJ,completed,3
ELETANIA SCOPEL EPP,completed,2
99* POP 15Ago 00h09min,rejected,1
Amazon.co.uk,rejected,1
MONTAGU,completed,11
CONDE SUPERMERCADOS,completed,4
MERCEARIA B LOPES,completed,2
Shitaki,completed,2
SUMUP  *NATALIAFERREIR,completed,7
MANOEL JOSE DA SILVA,completed,16
FCIA PAGUE MENOS 260,rejected,2
MERCPAGO    *GEISIANE,completed,12
XARA'S CAFE 1,completed,2
LucioGabriel,rejected,1
BIG FRIOS,rejected,1
RemedioPopular,completed,2
PAYGOCHURROS E CREPES,completed,2
PAYPAL *PACKLINKSHI,completed,1
"BANCA MARCH, S A",completed,1
LOUNGERIE MUELLER,completed,2
MARTA REGINA DE ARAUJO,completed,2
MrtRestauranteE,completed,2
REFACTORIN* STEVE SCHO,completed,1
MENEZES,completed,2
CHURRASCARIA C.DO SUL,completed,2
CAMICADO,completed,2
B   Q SUPERCENTRE,completed,2
N056931,rejected,1
LA MORALEJA,rejected,2
TELEFERICO SERRA NEGRA,completed,2
LANCHONETE E CHURR SER,completed,2
SP * ISLAND,completed,2
DouglasMartinsDos,completed,2
MERCADINHO TERRA VERDE,rejected,1
WWW.JUST-EAT.CO.UK,completed,1
ICELAND,completed,1
WILSON JOSE SANTANA JU,rejected,1
POSTO ABSCOMBUSTIVEIS,rejected,1
ACQIO  *Boulangerie A,rejected,1
PAYPAL *PAYEMENTSAM EBA,completed,1
RAMALHO BATATA,completed,2
99* POP 13Mai 15h52min,completed,2
GOL TRANSP A*GNB1VTBRA,completed,2
PICPAY *NY3 ALLANRIBE,completed,2
FARMACIA CUNHA LTDA,completed,2
MM DUNA,completed,1
Salao2Irmao,completed,2
99* POP 11Set 09h19min,rejected,1
OTPMOBL*VODAFONE.HU,completed,2
MERCADONA PZA. SAN JORDI,completed,1
HT*RADAR T CNICO,rejected,2
LINKEDIN-609*8129804,rejected,1
HAM   SNACKS LIMITE,completed,1
RECARGAPAY CLARO,rejected,2
DL          *463560810,rejected,1
Amazon *Mktplce EU-DE,rejected,8
MADEROS CHAMPAGNAT,completed,2
DM Drogerie Markt,completed,3
LOJAS AMERICANAS PETRO,completed,2
Josedoroteudasilv,completed,4
BUNKER BEACH SOTOGRANDE,completed,2
CHURRERIA DAME CHOCOLATE,completed,1
ORIGINAL CAFE,completed,2
GRILL HOUSE,completed,6
BeatrizRochaRodri,completed,2
SERJAO E MONICA,completed,2
FS *pickmeapp,completed,1
PADARIA MASSA EXTRA,completed,4
H M MARINA BANUS,completed,2
SUPERMERCADO ARAUJO,rejected,1
"FRESH TRADE\"\"",completed,2
PANIFICADORA NOVA MONT,completed,2
AUTO POSTO RODOVIAS LT,completed,4
J VIDAL CIA LTDA,completed,2
MEAT ALIMENTOS E SERVI,completed,2
LeonardoNanciSilv,completed,2
BRITCROWN PHARMACY,completed,1
HT Bernardes,completed,2
amzn.com/pmts,completed,1
FREE LINE HAIRDRESSING,rejected,1
LA BODEGUIYA LTD,completed,1
ALCAMPO TOLEDO,rejected,1
POSTO AVENIDA,completed,2
99* TAXI 19Mar 09h37mi,completed,2
IFOOD       *IFOOD,completed,16
CASA DE CARNES E VAREJ,completed,2
ZARELI SUPERMERCADOS,completed,6
SUMUP  *PANTANEIROCAR,completed,2
POSTO NOTA 10,completed,2
ACCM MAT DE CONSTRUCOE,completed,2
APL* CURRENCYLAYER,completed,2
EXTRA 1372,completed,2
UNIDASUL RISSUL FILIAL,completed,2
TONI AND GUY,completed,2
COOP-5447 ZH ENGE APERTO,completed,1
DANCASE,completed,4
AL SAFADI RESTAURANT,rejected,1
CORADELLI GIASSI SUL,completed,2
BOWLING NEXT LEVEL,rejected,2
COM BARRA POINT LTDA,completed,4
MCDONALDS,completed,12
AVENIDA AYRTON SENNA,completed,4
PAYPAL *SERVICOS91,completed,2
DELIVEROO.CO.UK,completed,3
Google systweak,completed,2
Cabify Espana,completed,1
MOZEBAS,rejected,1
MOIP,completed,2
CAMILA ROBERTA SCABELL,completed,2
MERCPAGO    *JUNINHO,completed,2
PROTEMAXXI,completed,2
RESTAURANTE OPEN HOUSE,completed,2
PADARIA NOVE DE JULHO,completed,2
99* POP 21Set 20h17min,rejected,1
SPECIALLY FOR YOU SL,completed,1
99* POP 13Set 01h53min,rejected,1
PICPAY      *GB6 PGTOC,rejected,4
EC*PAGSMILE,completed,6
SarahDayane,completed,2
COMPRE SEMPRE,completed,2
SUP CASTANHA,completed,8
PAYPAL *ZALANDOSE,completed,4
PROMENTUM SPAIN SLU,rejected,2
SODEXO 6778,rejected,1
SUPER MAIS,rejected,1
FCIA PAGUE MENOS 550,completed,2
SERCOMTEL,completed,2
Facebook SXZUES6552,rejected,1
PR PARAFUSOS,completed,2
PANIF CONDESSA,completed,2
99* POP 12Jul 20h19min,completed,2
VICENZA PIZZARIA,rejected,1
DNPSKINGSCANYONLODGING,canceled,1
BUTCHIES,completed,1
MASSA PURA,rejected,1
Five Guys Germany GmbH,completed,1
SUMUP  *HORTIFRUTAPOPU,completed,4
AUTO POSTO CLASSE A,completed,2
ESTACIONAMENTO SHOPPIN,completed,2
HT Bernardes,rejected,1
99* TAXI 28Mai 15h01mi,completed,2
K CITYMARKET ESPOO ISO,rejected,1
EXTRAFARMA MANGUEIRAO,rejected,1
99* POP 30Jul 00h18min,rejected,1
RUBAO BATATA,completed,4
PAGAR M     *JAMESDELI,rejected,3
PAGAR M     *JAMESDELI,completed,3
99* TAXI 21Abr 18h49mi,completed,3
CASA DE CARNE BOI DO P,canceled,2
PADARIA ESPACIAL,completed,14
MERCPAGO    *BARBEARI,completed,6
TIRATE AL MATU,completed,1
KARINDERIYA S L,completed,2
MERCADONA AGUAS NUEVAS,completed,2
WHOLE FOODS MARKET FULHAM,completed,2
BANKIA      044,canceled,1
DIA BRASIL 432,completed,16
FrangoAssado,completed,2
ElisbeteGomesDeAl,completed,2
POSTO 2005 DERIVADOS D,completed,2
AVENIDA TANCREDO DE AL,completed,2
CLINICA SAN ANTON SL,completed,2
PICPAY *NA2 DANILOVIA,rejected,1
TRENASUR,completed,1
FARMACIA SIERRA NEVADA,completed,1
99* TAXI 05Mar 13h03mi,completed,2
BAR VENECIA,completed,1
POSTO CIMATEL,completed,8
EXTRA SUPER LJ 1829,completed,2
RECARGAPAY CartaoPrePa,rejected,1
MERCADO SOL E MAR,completed,2
SUPERMERCADO DIA,rejected,1
U MAMLASU,completed,1
SESI FM 919,completed,2
ADCOS COSMETICOS D TRA,completed,2
SheilaHenckemaier,completed,2
ANIMALIUM,completed,1
SUPERMERCADO RAFALET,completed,1
FRED OLSEN LINEAS,rejected,1
WilliamSouza,completed,2
TIENDA INGLESA,completed,1
LAS IGUANAS,completed,1
FORNERIA COPACABANA,completed,2
ifood       *IFOOD,completed,472
WILKO RETAIL LIMITED,completed,4
REDE OBA THE MALL,completed,4
PEIXARIA DOURADO,completed,2
CASA DI CAFE,completed,4
MERCADO HOJE,completed,6
FARMACIA CENTRAL 1,completed,2
SUPER IMPERATRIZ,completed,4
BODEGAS Y VINOS DEL MOLAR,completed,1
SALGADEX,completed,2
CASA DE CARNE BOI DO P,completed,2
PLAISIO_ARGYROUPOLI,completed,1
MANGO MAGALUF,completed,1
MCO,rejected,2
VIRGIN MONEY GIVING,completed,3
GOOGLE *YouTubePremium,rejected,1
ART BAUHAUS,completed,2
000000301,completed,1
Pro Danse,completed,1
EditoraIsis,completed,2
JOAO OKUMA CALDO CANA,completed,2
CASA DE CARNES A PEQ,completed,2
AVENIDA KENNEDY,rejected,1
PICPAY *NEVESPAN,completed,2
CARTAO DE TO*120070324,rejected,1
ZASH BEANS DOTS C3,completed,1
LOUIS VUITTON HELLAS S,completed,1
MAGYAR DUTY-FREE KFT.,completed,1
LLOYDS AT SAINSBURYS,completed,1
CASA ANDRES,completed,1
FRANCIELY GATTIS 09911,completed,2
M DE SOUZA PEIXOTO,completed,2
99* POP 13Ago 00h55min,rejected,1
LBSUTTON,completed,1
POSTOS ERNESTAO,completed,2
21030476,completed,1
TESCO STORES 4338,completed,23
RescaroliComercio,completed,4
AGROPECUARIA ESTANCIA,completed,2
POSTO JACARE,completed,2
LuaCheiaMamaeE,completed,2
DROGASIL 2303,completed,6
99* POP 03Jun 03h09min,completed,2
OTPMOBL*VODAFONE.HU,rejected,1
AV COMEND FRANCISCO AV,completed,4
AV GETULIO VARGAS,completed,4
DYSON LIMITED,completed,1
EXPEROS,completed,13
Santander,rejected,1
SOFITEL THE PALM HOTEL,rejected,1
PAY*LIDL BENALMADENA,rejected,6
CEPSA GIB,completed,1
LINHAS E CORES,completed,2
Drogal,completed,2
PADARIA ALGO MAIS,completed,2
GELATERIA MILANI,completed,4
VIVO CONTROLE,completed,2
20950368 2,completed,1
SUPERMERCADO FACHOLLI,rejected,1
SUMUP  *MAISBELLASANTO,completed,2
CLAUDINEI DE OLIVEIRA,completed,2
MILANO COMERCIO VAREJI,completed,2
ARGOS LTD,completed,3
ANDREZA ALVES ALMEIDA,completed,2
PADARIA BIENAL,completed,4
DL          *238238647,rejected,1
LucieleLimaDe,completed,2
PanificadoraTres,completed,2
BROUX CONVENIENCIA,completed,2
EC*ALVESGOMESADE,canceled,2
DANIEL MENA CARRILLO 2011,completed,1
RAIA 2041,completed,2
HALLMARK INTERIORS (TH,completed,1
MERCPAGO    *PAMONHAR,rejected,1
RUXLEY STORES LTD,completed,2
SUPERMERCADO AVENIDA,completed,4
SUSHI RAO BARRA,completed,14
Transferwise,rejected,4
ASSAI ATACADISTA,completed,10
SantoCafe,completed,4
EROSKI CENTER,completed,11
GERHOLD LIMITED,completed,22
DELIPANE DELICATESSEN,completed,2
AUTO POSTO WANEL VILLE,completed,2
SEMPRE VIVA,completed,2
ESTRADA KIZAEMON TAKEU,rejected,1
NoteMachine ATM,rejected,4
CONFIANCA SOROCABA,completed,4
AUCHAN DUNAKESZI,completed,1
AUTO POSTO VISTA ALEGR,completed,2
Billa Namesti Svobody,completed,8
MGI MALAGA NOSTRUM,completed,1
ESPACO MEDICO DE AMOR,rejected,2
A SANTANA SILVA MERCAD,completed,2
CATARUCCI E CORREA PRO,completed,2
AUTO POSTO GUANABARA,completed,2
CATALAO C LTDA,completed,2
MERCPAGO    *TRMATERI,completed,2
99* POP 28Mai 21h32min,completed,2
00494976,completed,1
Google Activision,completed,2
TESCO STORES 2523,rejected,1
AVENIDA PADRE VICENTE,completed,4
BAR POSTO 12 EIRELI ME,completed,2
PRIVILEGE DENTAL SLP,completed,1
COMERCIAL DE GENEROS A,completed,2
Revolut**7625*,canceled,1
POSTO DAS NACOES LTDA,completed,2
RECANTO DO OSMAR,completed,2
KarolinePereiraDe,completed,2
POSTO FERRARI,completed,2
MILIUM 06,completed,2
E DE CASA,completed,2
BISCOITOS TIA NINA,completed,2
QUESOS CRISTO DEL PRADO,completed,1
PAYPAL*Paypal,rejected,1
SP VL CLEMENTINO 4,completed,2
CRV*C-JVJWVZ from Curve,rejected,1
DROGARIA RETIRO F35,completed,2
COINBASE 8NEX,completed,1
ENDESA E WEB EC 0001,completed,1
PARSONS NOSE,completed,12
BRUNOESP*PLAY*SOFTWARE,completed,2
LONDON  PUTNEY,completed,2
SUPERMERCADO ALEGRIA,completed,8
SONDA POMPEIA,completed,14
COMERCIO DE CARNES AMC,completed,2
PAO DE ACUCA,completed,6
ODILSON SPARREMBERGER,completed,2
EC*PAGSMILE,canceled,2
ODIN SUPERMARKT - WESTERP,rejected,2
RESTAURANTE ALMA,completed,2
QUEBABGO,completed,3
CASA DO PAO DE QUEIJO,completed,2
DROGASIL 2421,completed,4
FARMAMED DROGARIA LTDA,completed,4
VAL CONFECCOES,completed,2
ExercitoDeSalvaca,rejected,4
GERSON ALVES DE PAULA,completed,2
COFFEE CORNER,completed,1
EMPRESA MUNICIPAL TRANSPO,completed,2
LA TAPERIA,completed,1
CLARO KOJI INOUE EPP,rejected,1
INFOCELL VR,completed,2
GALERIES LAFAYETTE,completed,1
DigitalCell,completed,2
PCP CONVENIENCIA,completed,2
ALINE LORENZON DO NASC,completed,2
SP * BENUTS-ES,completed,1
YACHT TERMINAL,completed,1
LA BIRRATEKA,completed,1
RESTAURANT MONESTIR,completed,1
PANIFICADORA DIOCELLI,completed,2
FARMAGRI,completed,2
PRODUTOS GLO,rejected,6
SUPERMERCADO UNIAO,completed,22
WESTERN DIGITAL (UK),completed,1
RAPPI - FAST FOOD,completed,10
DandaBike,completed,2
CASA DO PASTEL,completed,4
HAVAN LOJAS DEPTOS,canceled,10
PadariaMassaExtra,completed,4
HELADOS SIRVENT,completed,1
VIRGIN MONEY GIVING,canceled,3
RAQUEL BARROSO MOTA,rejected,1
ARMAZEM URBANO,completed,6
JoiltonBarrosDos,completed,2
RAIA 1479,completed,2
VAREJAO BRASIL,completed,2
PANVEL FILIAL  505,completed,2
99* TOP 27Mai 09h14min,completed,2
POP SONDRIO MIL,completed,1
WORLD BIKES,completed,2
PACHECO CAMPOS V,rejected,1
COOP-4953 ZUG BAHNHOF,completed,2
CASA TRADICAO,completed,1
Libercard,completed,2
AC JUNDIAI,completed,2
Facebook 5VYC3RJ552,rejected,1
DECK SUSHI,completed,2
SERCOMTEL,rejected,1
SUPER POSTO J C,completed,2
SUMUP  *DIEGOPLAYCELUR,completed,2
PICPAY *NY3 PGTOCONTA,completed,2
GALERIA DO QUEIJO,rejected,2
COMERCIO DE GENEROS AL,completed,2
PAYPAL *ALESSI SPA,completed,1
MINI MERLORENZI LTDA,completed,2
OSAKA,completed,2
99* POP 12Jul 10h16min,rejected,1
AHORRAMAS SA,completed,1
ST RAPHAEL PR. HOSPITAL,completed,1
Transferwise Ltd,rejected,22
PANIFICADORA CEPAM,completed,22
COOP-2244 BAAR GOTTHARD,completed,1
KiosqueDaNan,completed,2
"TALHO DOM FUAS, UNIP",completed,1
MERCPAGO*DJSULIMPORTAC,completed,2
DiegoDeAlmeida,completed,2
MC DONALDS DRP,completed,6
NEWTON SYSTEMS LTD,completed,1
"MACRESPORT, S.L",completed,4
SOUZA 24 HORAS LANCHON,completed,2
LID3Y61,completed,1
SAINSBURYS PETROL (JCB,completed,1
ELAINECRISTINASAN,completed,2
FERNANDO ANTEBAS E SER,completed,6
LAZAROS HADJ.   SONS,completed,1
AIRPORT SHUTTLE EXPRESS,completed,1
POSTO AUTOMOTIVO PORTA,completed,2
D S VILELA TAUBATE,completed,2
DROG ARAUJO LOJA 41,completed,2
FULHAM PHARMACY,rejected,1
G E C,completed,2
MANOLO EL POLLERO,completed,1
DELL OSBEL REPRESENTAC,completed,2
Shell Dagenham,completed,1
EST. SERVICIO 4 CARRETE,rejected,1
ASICS FO MALLORCA FEST,completed,1
PANGEA ECO,completed,2
MERCPAGO    *VALERIAL,completed,2
JUDIYA ENTERPRISES,completed,1
subtel GmbH,completed,1
COINBASE 94JT,completed,1
PedidosYa - EREVAN,canceled,1
PAYPAL *HENNESMAURI,completed,1
CHAMPALIMAUD CAFE,completed,1
PIZZERIA PINOCHO,completed,1
PAYPAL *JIMMY JOY,completed,1
DIMOS LIVADION,completed,1
TRADINGVIEW,canceled,1
FORTALEZA,completed,2
CLO*KFM ESTACIONAMENTO,completed,2
PG          *Eduzz,completed,15
NEGREIROS SUPERMERCADO,completed,2
TESCO STORES 2523,completed,9
FORN NOU,completed,1
todos       *CTN,rejected,4
REG IMOVEIS SP,completed,6
TemperArt,completed,6
Amazon Payments,completed,2
SUMUP  *CASADAPIZZA,completed,2
MERCPAGO    *LANCHONE,rejected,1
cryosinternational.com,canceled,1
SAINSBURYS SACAT (STOR,completed,7
DELLA MARIS PAES DOCES,completed,8
FARMA FAITA,completed,2
EC*SNBARRETTO2,completed,2
BRAZIL EXPRESS CONVENI,completed,2
COBASI POMPEIA,completed,12
PAYPAL *GOOGLE BOOKSMAD,completed,1
DEMERGE BRAS*MyFamilyC,completed,2
SIDIMAR BATISTA 080193,completed,2
MBI-PROBILLER.COM,completed,4
SumUp  *Cristina RIBEIRO,canceled,2
NAUGHTY BRGR IS,rejected,1
SUMUP*Padaria e Lan,completed,2
MERCADONA MERCAT DE FORT,rejected,1
SUPERMERCADO DIASVILLE,completed,2
A NOSSA LOJA,completed,2
PIZZARIA JAMBALAIA,completed,2
P.S,completed,2
POSTO AVENIDA MARGINAL,completed,2
FARMAIS DROGARIA,completed,2
PANIF E CHOQUITO VAR,completed,2
DECATHLON MIJAS,completed,2
Tortilla House Finland,completed,1
99*,completed,33
JOIL DE S GUERRA,completed,2
J   T DISTRIBUIDORA DE,completed,2
FPM 880,completed,14
PAYPAL *REAL.DE,completed,1
GREYCIANE BRAZ BARROSO,rejected,3
MOIP,rejected,15
AKI SUSHI,completed,1
PHENOMENAL SERVICES LTD,completed,1
ALLPLANTS LTD,completed,1
PAYPAL *JACCSPORTS,completed,1
GNVGAS DO BRASIL,completed,8
EC*APOSTILAHOME,completed,2
POSTO O CUPIM,completed,2
CASA MACRE ATACADO E S,completed,2
WASSER,completed,2
EVE Online Items,completed,4
INCI FOOD CENTRE,completed,3
99* TAXI 11Mar 18h35mi,completed,2
JOIN BURGUER,completed,2
Tidal Music,completed,4
AUTO POSTO GE,completed,2
KASABOV 1 LTD,completed,1
COSMOPOLIS CAFE,completed,1
AS GIRAO REST E PIZZAR,completed,2
F C AYRES EIRELI EPP,completed,2
PIZZERIA SOFILIE,completed,2
GO PLC ONLINE PAYMENT,canceled,1
CANYON.COM,completed,1
JUNINHO RESTAURANTE,rejected,2
COBASI IMIGRANTES,completed,4
AMZNMKTPLACE AMAZON.CO,rejected,4
POSTO MILENA,rejected,2
EDMILSON S DOS SANTOS,rejected,3
CAETANO E PINHEIRO LTD,completed,2
SWIFT KLABIN,completed,4
NICO PANIFICADORA,rejected,1
PRIO ENERGY,completed,1
EXPLOSCASTROS,completed,1
PAYPAL *ARENABERLIN,completed,2
ORIGEN KM0,completed,3
OKELA HARATEGIA,completed,2
LINKEDIN-608*7266544,rejected,1
SAINSBURYS LOC4364,completed,5
DNPSKINGSCANYONLODGING,completed,2
Parents Paradise Limit,completed,1
AUTO P SAO CRISTOVAO,completed,4
A ESSA HORA APOS 1730,completed,2
MERCADO BELENZIER,completed,2
ELIANE STANG,completed,2
GRAMADO COMERCIO DE RA,completed,2
RI HAPPY BRINQUEDOS,completed,2
BARBACOA,rejected,1
SUPERMERCADO PIRES,completed,2
MADERO JOINVELLE,completed,6
ZMARTI,completed,2
MERCADO 101,completed,2
STFC COMMUNITY TRUST,completed,2
MERCEARIA DO CELSO,completed,2
ABUDI HOTEL,completed,2
Central Florist,completed,1
J. MULLIN'S,completed,1
99* POP 16Ago 04h03min,rejected,1
POSTO JM SANTA ROSA,rejected,1
QUADRA VINTE (PANORAMA,canceled,2
MERCPAGO*MERCADOLIVRE,completed,57
CAFETERIA PRINCESA,completed,4
FARMACIAS SAO JOAO NOV,completed,6
TRADERA,rejected,2
HELP SOLUCION INFORMATICA,completed,1
FeminaClinicaDe,completed,2
FabianiLittigDeSo,completed,2
DMSilvaMei,completed,2
RUA NOSSA SENHORA MAE,completed,2
AmazonPrimeBR,completed,18
BISCOITOS TIA NINA,rejected,5
PETROPRIX SEDE,completed,3
A PERFUMISTA,completed,4
PAYPAL *JUSTEATSPAI,completed,1
Revolut**8627*,completed,5
SOLO EXPRESS LTD,completed,9
MERCPAGO    *ELSONDAS,completed,2
PEIXARIA VIA MARE,completed,2
AVENIDA MIGUEL SUTIL,completed,2
Revolut**2163*,rejected,2
DOCE SONHA PADARIA E C,completed,4
PANIFICADORA MAFRA,completed,2
DIA BRASIL LJ 637,completed,2
MERCADINHO DA VILA,completed,2
Billa Tilleho nam. 793,completed,1
FOODSAVER MORE FOR LESS,completed,1
ED PLANETA DE AGOSTINI,completed,2
PIZZA EXPRESS,completed,1
SUPERMERCADO FACHOLLI,completed,2
TAVAREDE AUTO POSTO LT,completed,2
SAPORI LJ DE CONVENIEN,completed,4
DIST MAR VERMELHO,rejected,1
ESTRELA AZUL,completed,2
SUPERMERCADO QUEIROZ,completed,2
W M MORRISONS,rejected,1
20859857,rejected,1
CAFETERIA BINIBECA,completed,1
RAPPI*PRIME BRASIL INT,rejected,1
CEDIPSA 37186 GUIRNEY II,completed,1
SumUp  *Miele Company Lim,completed,1
MACROBIOTIC ZEN,completed,2
SHELL PAPADOPOUL,rejected,2
LA CAIXA    010,completed,1
MERCPAGO    *GLENIOCA,completed,2
J & E CONVENIENCIA,completed,2
FARMACIA CRISEN FARM,completed,2
ES REPSOL 2 CIRCULAR,completed,1
SILVANO DOS SANTOS VAR,rejected,1
SOTOHEALTH,completed,6
CRV*Verification Transact,canceled,1
PADARIA TRIGOMASSA,completed,2
RAIA 140,completed,2
MARMELADE,completed,1
ZAPPAS,completed,2
SUPERMER SUPERNOSSO,completed,2
GIBRALTAR VETERINARY C,completed,1
ALDI 772-175,completed,1
PADARIA JURUBATIBA,completed,2
SAO JOAO FARMACIAS,completed,4
MERCADO MELHOR PRECO,completed,2
SUMUP  *MARIOFAGUNDES,completed,2
PIZZA DO GORDINHO II,completed,2
99* TOP 24Abr 18h23min,completed,2
ESSEX FOOD   WINES,completed,1
CASA DE CARNES ESCUER,completed,2
DUBAI TAXI,completed,4
BLUE BOAT,completed,3
JARDIM PRIMAVERA,completed,2
TAPIOCA RENDADA,completed,2
RELEVO CARIMBOS E PLAC,completed,2
HOTEL KLIMEK SPA KL,rejected,1
PAYU        *BlizzardE,completed,4
HIPER UNIMAR,completed,2
BIKEMAX BRNO,completed,1
SUPER VITORIA,completed,2
DROGASIL 1919,completed,6
Google Bigo,rejected,6
1616000011,completed,8
FANI FRIOS DELICATESSE,completed,2
CHAMBAO,completed,10
WWW.GAMEWAGON.CO.UK,completed,1
AMZ*Amazon.es,completed,3
KAUBAMAJA TALLINN,completed,1
"FIVE GUYS SPAIN,S.L",completed,1
POSTO POSITIVO,completed,2
SUPER DIA DIA CPA III,completed,2
NETFLIX,completed,1
Araquarela,completed,2
RESTAURANT MONEL,completed,1
MEGAMATTE CAX,completed,4
ALINE REGINA DA ROSA A,completed,2
EDEKA Fil. 5451,completed,1
MARIA PADOCA LOJA DE C,completed,4
SAINSBURYS MAIN STORES,completed,1
00497723,completed,1
PICPAY *NV4 PGTOCONTA,rejected,1
WEDERSON SOARES DE SOU,completed,2
MERCADO ALTHOFF,completed,2
BRUCE LUIZ FURLAN 3422,completed,2
MARCIO VIRGILIO DE SOU,rejected,1
MERKA DOCES,completed,2
POSTO TUPI,completed,2
HIAE IBIRAPUERA,completed,2
TABACARIA SMOOK HOUSE,completed,2
JR FRUTAS,completed,2
PICPAY *FICHASNET,completed,2
TESCO STORE 2310,completed,1
ALDI EMPURIES,completed,1
PANIFICADORA CRISTALIN,completed,2
AAHA ORG,rejected,1
PADARIA SABOR DE MINAS,completed,38
ZEBU CARNES SUPERMER,completed,4
AMOR CANELA,completed,2
POSTO PRIME LTDA,completed,2
PAYPAL *SKYPE.COM,rejected,1
Media Markt TV-HiFi-Elekt,completed,1
Google Bigo,completed,20
EMPORIO PRIME,completed,6
RUA RUBIAO JUNIOR,completed,2
RUA CAIRU,canceled,6
JUMBO - LIVADHIA,completed,2
BRYAN NEUMATICOS YERAI TO,completed,1
TheCoven Bar,completed,1
DROGARIA MAIS BARATO,completed,2
AZZOPARDI SUPERMARKET,completed,1
TROCADERO SOTOGRANDE,completed,2
AUTOPISTAS DE NAVARRA S.A,completed,3
ROSELIA ELIAS,rejected,1
PADARIA A TRIGUEIRA,completed,2
PETZ VILA VELHA,completed,2
MERCPAGO    *MOAHREST,completed,2
PRISCYLA,completed,2
KLARNA,completed,1
C.MINEIRAO 49 MPA - PA,completed,2
TRATTORIA TOSCANA ETTE,completed,1
